"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,44,26,11,11,64,35,5
,El Salvador,11,2,2,2,2,2,8,5,1,0,37,24,5,0,0,0,0,0,1,18,10,0,0,0,10,20,0,0,0,0,0,0,0,0,16,4,6,5,5,5,0,0,0,0,0,0,0,0,3,3,0,0,17,1,7,9,2,5,5
,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,25,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,0,1,4,5,5
,Guatemala,1,1,1,5,1,1,5,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,48,13,82,10,10,10,10,1,4,5,5,4,7,19,6,11,16,2,11,3,6,9,3,5,5
,"New Zealand, No Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,46,21,58,29,23,10,50,10,26,35,0,12,0,0,0,2,9,1,5,2,7,3,2,5,4,1,0,0,1,0,0,2,9,4,6,4,7,7,6,5,5,3,5
,Nicaragua,1,1,1,3,0,1,1,1,16,9,10,8,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,8,4,5,14,0,0,0,0,0,0,0,1,3,3,6,2,2,16,21,3,3,6,0,0,2,5
,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Albania,0,0,0,0,0,0,0,0,7,0,22,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0
,Algeria,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angola,,138,99,70,153,134,77,124,147,165,167,101,80,35,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
