"Table 22--U.S. corn and sorghum exports by selected destinations (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export and country/region 1/,,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
,Chile,0,1,72,269,244,420,368,396,105,486,543,33,34,1,20,0,299,298,406,63,28,1,2,1,50,75,353,543,15
,Oman,,0,,20,0,,0,12,8,31,20,6,15,,22,,29,34,22,2,2,,2,1,0,33,7,79,12
,Haiti,0,0,0,0,,14,9,3,2,0,2,1,0,,,0,0,,1,0,0,0,4,8,11,3,9,33,12
,Suriname,0,0,12,22,7,11,15,13,15,15,17,18,17,18,17,18,19,12,8,11,10,9,13,4,6,4,8,10,9
,Pakistan,0,0,,0,1,0,1,0,1,0,1,2,1,2,3,3,4,3,3,7,4,3,5,7,9,7,6,8,7
,St. Vincent And The Grenadine,0,0,3,4,6,4,6,4,2,3,3,2,2,4,5,5,5,5,5,4,4,4,4,7,7,6,7,7,5
,Ecuador,0,0,0,24,1,49,155,114,75,230,168,177,234,181,384,321,339,418,477,217,168,214,30,0,1,27,0,49,4
,Grenada,0,0,1,2,2,1,11,3,3,3,3,3,4,4,3,3,8,9,3,14,4,16,2,8,4,4,3,3,4
,Argentina,1,0,1,1,1,2,7,6,22,2,3,2,1,0,1,2,1,1,2,1,1,1,1,1,1,0,1,0,3
,Sri Lanka,,0,,,,21,,22,,,,,,,,,,,,,,,,0,,,,,2
,St. Lucia,0,0,0,,,0,0,,,0,,,0,,,0,,,0,,0,0,,,0,2,3,2,2
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,French Polynesia,0,0,2,3,3,1,3,1,0,1,1,2,5,5,6,11,11,7,5,5,4,4,3,2,3,3,2,2,2
,Bahamas,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
,Thailand,,,0,0,0,119,175,0,0,37,2,12,0,0,0,0,0,,1,2,0,0,0,0,4,1,52,8,1
,Myanmar (Burma),,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,1
,Turkey,0,0,66,78,1,336,525,472,379,694,875,569,748,981,655,10,37,350,438,29,1,10,1,0,0,13,3,0,1
,Brazil,,0,0,71,32,367,10,13,1,121,43,16,0,39,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
,Cayman Islands,,,,0,,,,,,,,,0,,,,,,,0,0,0,,0,,,0,0,1
,Former Soviet Union-12,,,"1,807","4,014","2,561",37,53,80,23,405,503,28,86,0,76,17,15,2,40,1,0,1,0,0,1,1,,0,0
,Iran,,,95,444,117,546,,,,,611,144,63,,64,,,0,463,64,,67,,,,138,0,0,0
,Other Europe,1,0,2,2,1,62,12,40,27,20,51,16,25,15,18,0,2,0,10,0,2,3,16,9,0,0,0,1,0
,Belize,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,Singapore,1,0,0,1,1,13,1,58,0,0,0,0,0,0,0,0,2,1,0,1,,0,0,0,1,0,0,,0
,Aruba,,0,0,1,0,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0
,Jordan,0,0,167,280,246,348,249,272,58,124,74,15,39,28,190,299,319,320,147,139,86,71,20,0,0,80,29,189,0
,Qatar,,0,7,,7,13,7,,,22,,,,0,0,1,,,0,,,,,0,0,0,0,0,0
,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,0,,0,,,0,0
,Bermuda,0,0,,0,,0,0,0,0,0,,,,,,,,,0,0,,,,,,0,0,0,0
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
,India,,,,1,,,,,,85,0,0,,,,0,2,0,0,1,0,0,,0,,,0,0,0
,Australia (No Islands),,0,1,0,6,85,6,0,1,0,1,0,0,48,0,0,21,0,23,0,0,,0,0,0,,0,1,0
,St. Kitts-Nevis,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,0
,Kuwait,0,,0,1,1,2,1,0,0,0,2,2,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0
,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Syria,0,0,64,70,81,343,191,221,286,354,603,588,786,517,783,"1,291",829,"1,471","1,305",512,814,960,0,,,0,0,0,0
,Iraq,1,,,,,,,,,,,81,,,,,21,,,,,,,0,,,0,,0
,Guadeloupe,0,0,,,0,,,,,,,0,,,0,,0,,0,,,,0,0,0,,,,0
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,0,,,,33,,,
,Antigua & Barbuda,,,,,0,,,1,1,0,,0,,,,,,,0,,,0,,,,0,0,,
,Bahrain,,0,0,12,5,15,8,12,,6,0,1,5,0,6,1,0,0,,9,0,0,0,0,0,,,,
,Bolivia,,,,,1,0,1,1,2,,,,0,,,0,,,,0,0,,,,,0,,,
,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,10,13,,0,,,,
,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
,Curacao,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
,Dominica,0,,,13,,,,,,,,,,,,,,,2,,,,17,0,,,,,
,Fiji,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,
,"Former Czechoslovakia, Ends 12/1992",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Former Ussr, Begins 1/1989 & Ends 1/1993",18,12,"1,556",127,,,,,,,,,,,,,,,,,,,,,,,,,
,"Former Yugoslavia, Ends 5/1992",0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenland,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
,Laos,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,
,Libya,,,,,,,,,,,,26,,,49,,126,224,243,27,43,50,0,,,,,,
,Macao (Macau),,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,Martinique,0,,,,0,,,,,,,,,,,,4,,,0,,1,,,,,,,
,"Micronesia, Federated States",,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,Nepal,,,,,,,,,,,0,,,,1,,0,,,,,,,,,,,,
,Netherlands Antilles,0,0,5,8,7,7,6,3,0,3,5,4,6,5,0,0,0,0,0,0,0,,,,,,,,
,New Caledonia,,,,0,,,,,,,,0,0,,,,,,,,,,,,,,,,
,North Korea,,,,,,32,,,16,10,25,,,,38,12,,,81,41,0,,,,,,,,
,Papua New Guinea,,,,,0,12,12,,,,,,,,,,,,,,,,,,,,,,
,Paraguay,,,0,2,,4,0,0,,,,,,,,,,,,,,,,,,,,,
,Samoa,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tokelau Islands,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,
,Turks And Caicos Islands,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,
,Unidentified Country,1,0,139,487,504,581,949,236,514,"1,063","1,087",603,232,203,165,136,145,254,180,6,10,,,,,,,,
,"Yemen (Sana), Ends 9/1990 & United Begin",0,0,101,95,69,73,48,40,20,88,84,,34,,20,,,,44,,,,,,,,,,
,Total 3/,637,392,"26,431","42,249","33,741","55,311","56,589","45,655","38,214","50,401","49,191","49,313","48,383","40,334","48,258","46,181","54,201","53,987","61,913","46,965","50,270","46,508","39,096","18,545","48,790","47,421","48,229","58,270","61,935"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorghum 2/,China (Mainland),,,,,,,0,,,,,22,0,,,,,,0,9,0,0,,3,"4,260","8,328","7,091","4,740","4,210"
,Sub-Saharan Africa,21,217,192,155,153,117,100,35,92,57,35,,73,108,124,301,491,428,682,765,634,252,335,184,444,486,593,467,363
,Japan,"3,212","1,949","1,670","1,923","1,640","2,050","1,618","2,102","1,650","1,379","1,123",811,"1,264",992,935,"1,147","1,161",709,524,306,851,340,96,209,293,83,79,224,357
,Mexico,"3,148","3,016","5,013","4,293","3,028","2,592","1,787","2,149","3,260","3,148","4,931","5,001","4,754","3,347","2,990","3,016","3,138","1,975","1,069","2,453","2,527","2,383","1,168","1,448",251,21,625,585,93
,European Union-27,248,203,179,205,174,304,"1,009",130,209,201,184,4,9,183,847,169,67,737,"4,385",41,2,592,4,81,25,2,11,2,84
,South Korea,38,0,1,0,2,2,55,54,0,0,1,0,0,0,0,0,10,0,4,1,1,1,1,2,1,3,2,1,60
,Colombia,1,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,,0,,,64,,25
,China (Taiwan),30,0,30,0,,15,22,,,,0,0,1,,9,2,1,0,,1,1,6,,,67,1,0,2,6
,Canada,1,1,2,2,2,3,6,3,5,3,4,4,5,6,8,5,4,4,6,5,4,4,3,4,6,7,7,7,6
,Philippines,0,0,0,0,0,0,0,0,0,,55,12,0,0,0,0,,0,0,0,0,0,,0,2,0,0,0,1
,Bolivia,,,,,,0,0,,0,0,,0,0,1,,0,,,,0,,,0,1,1,0,0,1,1
,Vietnam,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,2,0,1
,Myanmar (Burma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Panama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
,Argentina,1,1,0,0,0,0,1,7,6,0,2,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
,Former Soviet Union-12,,,,,0,7,,,0,0,,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0
,Malaysia,,,,,,,,,1,,,,,,,1,,,,,,,,,,0,,0,0
,Uruguay,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
,Thailand,0,2,0,0,1,38,4,4,2,1,1,,0,1,1,0,0,,,,0,,0,0,1,,,,0
,Tunisia,100,45,,,0,1,1,0,0,0,0,28,0,1,0,,0,0,,,,,,0,0,0,,,0
,Paraguay,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,0,0
,Australia (No Islands),0,0,,,,282,,,,,,0,0,0,,,,,0,,0,,,0,,,,,0
,Chile,0,0,,,23,0,0,43,0,0,0,,,,0,0,1,0,23,1,0,7,0,0,0,1,,,0
,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Algeria,25,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,0,
,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
,Bahamas,,,,,,,,0,,,0,1,0,,,,,0,,,,,,,,,,,
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,Barbados,,,,,,,,,,,,2,,,,0,,,,,,,,,,,0,,
,Belize,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
,Brazil,3,,,,,0,0,1,1,1,1,0,0,0,0,0,0,0,,0,,0,0,0,1,0,0,1,
,Cayman Islands,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
,Costa Rica,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,,0,,0,,,,0,0,0,,
,Curacao,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,Dominican Republic,0,0,4,0,0,0,0,0,,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,,
,Ecuador,30,33,36,10,,,,,,,,0,,0,0,,,0,,0,0,0,,,,,,,
,Egypt,,100,,,0,,18,1,,0,0,,0,,,,,0,,3,0,0,0,,0,0,,,
,El Salvador,,0,0,0,0,0,15,0,0,0,,0,,,,,,,0,0,,0,,,,,,0,
,Fiji,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,
,"Former Yugoslavia, Ends 5/1992",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,French Polynesia,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
,Grenada,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,Guatemala,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
,Guyana,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,Haiti,0,,,1,1,1,2,,,,,,,0,,,0,,0,,0,,,,,,0,2,
,Honduras,0,1,0,0,0,0,8,25,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,
,Hong Kong,,,,0,,,,,0,,0,,,0,,0,0,0,,,,,,,,,,,
,India,,,,,0,,,,,,,,1,,,,,0,,,0,,,,,,,,
,Indonesia,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,2,7,
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,Israel,371,166,75,230,83,194,351,458,107,92,135,120,30,39,131,27,16,18,174,0,6,150,,0,0,,0,,
,Jamaica,2,1,1,3,2,4,3,2,3,3,3,,,1,,,,,,0,0,,0,0,4,,,0,
,Jordan,290,51,91,50,,,,,,,0,0,,,,,,,0,0,0,,,,0,,,,
,Kiribati,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Lebanon,,,,,,,,5,,,3,,,,0,,,,,,,,,,,,,,
,Libya,,,,,,,,,,,,,,,,,,,,22,17,,,,,,,,
,Morocco,0,,0,0,0,1,1,1,0,107,,,0,1,,0,39,0,,,123,112,,,0,,0,,
,Netherlands Antilles,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
,"New Zealand, No Islands",16,,,,,38,16,,,,,,,,,,,0,0,,,,,,,,,,
,Nicaragua,,0,0,1,0,0,0,9,0,0,3,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,,
,Oman,,,,,,,,,,,,,,,,0,,,,4,,,,,,,,,
,Other Europe,106,,,,0,,0,44,20,0,,,,,,,,,130,,,,,,,,,,
,Pakistan,,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,1,,,0,1,0,0,,1,205,0,
,Papua New Guinea,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,Peru,0,0,20,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,,,,
,Saudi Arabia,0,10,0,0,9,,,,,,,,1,,0,0,0,,0,1,,,,0,,0,0,,
,Singapore,,,,,,0,,,,0,,,,,,0,,0,,,,,,,,,,0,
,Syria,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,Trinidad And Tobago,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,Turkey,52,115,85,147,0,,,139,0,0,,0,,,,0,,,,,,,0,1,0,0,0,,
,Turks And Caicos Islands,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
,United Arab Emirates,0,,,,,,,,,,,,,,,4,2,,,,0,,0,,,,,,
,Venezuela,104,0,1,15,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,,,0,1,0,,0,
,"Yemen (Sana), Ends 9/1990 & United Begin",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,Total 3/,"7,800","5,913","7,403","7,039","5,120","5,657","5,025","5,217","5,387","4,996","6,484","6,009","6,142","4,681","5,049","4,675","4,936","3,876","7,030","3,632","4,169","3,850","1,611","1,938","5,359","8,935","8,683","6,041","5,211"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ Market year is September-August.
2/ Grain only.
3/ May not add due to rounding.
Source: U.S. Department of Commerce, Bureau of the Census, Foreign Trade Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
