Table 6--Barley: Supply and disappearance (million bushels),,,,,,,,,,,,
Mkt year and qtr 1/,,Supply,,,,Disappearance,,,,,,
,,,,,,Domestic use,,,,,,
,,Beginning stocks,Production,Imports,Total supply 2/,"Food, alcohol, and industrial use",Seed use,Feed and residual use,Total domestic use 2/,Exports,Total disappearance 2/,Ending stocks
1975/76,Q1 Jun-Aug,92,379,4.00,475,36,,61,98,3.73,101,374
,Q2 Sep-Nov,374,,3.00,377,32,1.10,39,72,4.98,77,300
,Q3 Dec-Feb,300,,3.60,304,29,1.30,46,77,6.05,83,221
,Q4 Mar-May,221,,2.00,223,33,13.30,40,86,8.05,95,128
,MY Jun-May,92,379,12.60,484,131,15.70,186,333,22.80,355,128
,,,,,,,,,,,,
1976/77,Q1 Jun-Aug,128,383,3.89,515,38,,63,101,8.07,109,406
,Q2 Sep-Nov,406,,1.00,407,32,1.30,42,76,26.73,102,305
,Q3 Dec-Feb,305,,1.85,307,31,1.50,36,68,18.75,87,220
,Q4 Mar-May,220,,1.87,222,37,15.40,32,84,11.24,95,126
,MY Jun-May,128,383,8.61,520,137,18.20,174,329,64.79,394,126
,,,,,,,,,,,,
1977/78,Q1 Jun-Aug,126,428,3.35,558,37,,48,85,25.12,110,448
,Q2 Sep-Nov,448,,0.76,448,32,1.20,38,71,19.49,90,358
,Q3 Dec-Feb,358,,1.80,360,32,1.30,46,79,5.54,85,275
,Q4 Mar-May,275,,0.53,276,38,14.30,45,98,5.35,103,173
,MY Jun-May,126,428,6.44,561,139,16.80,177,332,55.50,388,173
,,,,,,,,,,,,
1978/79,Q1 Jun-Aug,173,455,1.50,629,41,,62,104,14.20,118,511
,Q2 Sep-Nov,511,,0.98,512,37,1.00,49,86,8.30,94,418
,Q3 Dec-Feb,418,,2.15,420,36,1.10,51,87,0.89,88,332
,Q4 Mar-May,332,,2.09,334,40,11.50,53,105,1.26,106,228
,MY Jun-May,173,455,6.71,635,154,13.60,215,382,24.65,406,228
,,,,,,,,,,,,
1979/80,Q1 Jun-Aug,228,383,1.75,613,41,,65,106,7.38,113,500
,Q2 Sep-Nov,500,,1.14,501,37,1.00,47,85,19.65,105,396
,Q3 Dec-Feb,396,,2.00,398,37,1.10,48,86,10.90,97,301
,Q4 Mar-May,301,,2.29,303,42,11.80,42,96,14.89,111,192
,MY Jun-May,228,383,7.17,618,158,13.90,202,373,52.82,426,192
,,,,,,,,,,,,
1980/81,Q1 Jun-Aug,192,361,1.29,555,45,,58,103,17.86,121,434
,Q2 Sep-Nov,434,,1.27,435,38,1.10,40,80,18.83,98,336
,Q3 Dec-Feb,336,,1.53,338,37,1.30,35,73,26.70,100,238
,Q4 Mar-May,238,,1.78,240,43,13.50,34,90,12.27,103,137
,MY Jun-May,192,361,5.87,559,162,15.90,168,346,75.66,422,137
,,,,,,,,,,,,
1981/82,Q1 Jun-Aug,137,474,1.11,612,43,,57,100,20.23,120,492
,Q2 Sep-Nov,492,,1.15,493,37,1.10,52,90,37.00,127,366
,Q3 Dec-Feb,366,,2.52,369,37,1.30,44,82,24.06,106,263
,Q4 Mar-May,263,,2.10,265,42,13.50,45,100,17.10,117,148
,MY Jun-May,137,474,6.88,618,158,15.90,198,372,98.38,470,148
,,,,,,,,,,,,
1982/83,Q1 Jun-Aug,148,516,3.89,668,42,,69,111,18.29,129,539
,Q2 Sep-Nov,539,,1.29,540,37,1.20,49,87,9.50,97,443
,Q3 Dec-Feb,443,,1.20,444,37,1.40,57,95,10.70,106,339
,Q4 Mar-May,339,,1.98,341,42,14.60,62,118,5.68,124,217
,MY Jun-May,148,516,8.35,672,157,17.20,237,411,44.17,455,217
,,,,,,,,,,,,
1983/84,Q1 Jun-Aug,217,508,2.30,727,43,,99,142,8.83,151,577
,Q2 Sep-Nov,577,,0.59,577,36,1.40,87,124,31.10,155,422
,Q3 Dec-Feb,422,,1.05,423,35,1.60,49,86,28.75,115,308
,Q4 Mar-May,308,,1.11,309,41,16.50,43,100,20.15,120,189
,MY Jun-May,217,508,5.05,730,155,19.50,278,452,88.82,541,189
,,,,,,,,,,,,
1984/85,Q1 Jun-Aug,189,598,2.67,790,41,,99,140,11.14,151,639
,Q2 Sep-Nov,639,,0.86,640,36,1.50,83,120,35.16,155,485
,Q3 Dec-Feb,485,,2.36,487,35,1.70,71,108,21.01,129,359
,Q4 Mar-May,359,,1.54,360,41,18.20,49,109,4.34,113,247
,MY Jun-May,189,598,7.42,795,153,21.40,301,476,71.66,547,247
,,,,,,,,,,,,
1985/86,Q1 Jun-Aug,247,590,0.65,838,42,,88,130,10.40,140,698
,Q2 Sep-Nov,698,,1.32,700,36,1.50,83,120,7.25,128,572
,Q3 Dec-Feb,572,,2.53,575,36,1.70,71,109,1.28,110,465
,Q4 Mar-May,465,,1.74,466,43,18.10,77,138,0.78,139,327
,MY Jun-May,247,590,6.25,844,157,21.30,319,497,19.71,517,327
,,,,,,,,,,,,
1986/87,Q1 Jun-Aug,327,609,1.33,937,42,,95,137,13.49,150,787
,Q2 Sep-Nov,787,,1.03,788,34,1.30,74,110,43.55,154,634
,Q3 Dec-Feb,634,,1.19,635,36,1.40,67,104,31.82,136,499
,Q4 Mar-May,499,,3.11,502,42,15.20,65,121,44.76,166,336
,MY Jun-May,327,609,6.67,942,154,17.90,300,473,133.62,606,336
,,,,,,,,,,,,
1987/88,Q1 Jun-Aug,336,521,1.10,859,40,,77,117,16.83,134,725
,Q2 Sep-Nov,725,,2.86,728,37,1.10,64,103,42.51,145,582
,Q3 Dec-Feb,582,,4.31,587,36,1.30,58,95,33.02,128,459
,Q4 Mar-May,459,,3.03,462,42,13.30,57,112,28.62,140,321
,MY Jun-May,336,521,11.30,869,155,15.70,256,427,120.98,548,321
,,,,,,,,,,,,
1988/89,Q1 Jun-Aug,321,290,2.84,614,41,,96,138,25.84,164,450
,Q2 Sep-Nov,450,,2.17,453,36,1.10,31,68,12.64,80,372
,Q3 Dec-Feb,372,,2.85,375,36,1.20,42,79,15.29,94,281
,Q4 Mar-May,281,,2.65,283,43,12.70,6,61,25.56,87,196
,MY Jun-May,321,290,10.51,622,156,15.00,175,346,79.33,425,196
,,,,,,,,,,,,
1989/90,Q1 Jun-Aug,196,404,3.58,604,44,,116,160,26.59,186,418
,Q2 Sep-Nov,418,,1.99,420,37,0.90,14,52,17.22,69,351
,Q3 Dec-Feb,351,,3.30,354,37,1.10,41,78,23.05,101,253
,Q4 Mar-May,253,,4.22,257,43,11.50,19,74,22.10,96,161
,MY Jun-May,196,404,13.08,614,161,13.50,190,364,88.96,453,161
,,,,,,,,,,,,
1990/91,Q1 Jun-Aug,161,422,1.03,584,43,,99,142,30.86,173,411
,Q2 Sep-Nov,411,,1.25,412,38,1.00,42,81,25.36,106,306
,Q3 Dec-Feb,306,,4.21,310,37,1.20,42,80,18.64,99,211
,Q4 Mar-May,211,,6.99,218,42,12.40,23,77,5.03,83,135
,MY Jun-May,161,422,13.48,596,160,14.60,207,381,79.88,461,135
,,,,,,,,,,,,
1991/92,Q1 Jun-Aug,135,464,7.44,607,44,,109,154,13.50,167,440
,Q2 Sep-Nov,440,,3.46,443,37,0.90,40,78,36.69,115,328
,Q3 Dec-Feb,328,,6.45,335,35,1.00,58,94,24.63,119,216
,Q4 Mar-May,216,,7.17,223,43,10.90,21,75,19.72,94,129
,MY Jun-May,135,464,24.52,624,160,12.80,229,401,94.55,496,129
,,,,,,,,,,,,
1992/93,Q1 Jun-Aug,129,455,6.56,590,43,,111,153,18.36,172,418
,Q2 Sep-Nov,418,,1.53,420,36,0.90,14,51,22.03,73,347
,Q3 Dec-Feb,347,,1.45,348,36,1.00,45,82,21.94,104,244
,Q4 Mar-May,244,,1.87,246,45,11.00,21,77,17.97,95,151
,MY Jun-May,129,455,11.41,595,160,12.90,191,364,80.29,444,151
,,,,,,,,,,,,
1993/94,Q1 Jun-Aug,151,398,3.17,552,44,,91,135,14.63,150,403
,Q2 Sep-Nov,403,,10.77,413,38,0.80,27,65,15.18,80,333
